Path,GVKey,HH Name,Mergent Name,Year,Doctype Confirmed,Name Confirmed,Year Confirmed,Index in missing.csv
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\334345_1.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2001,2001 ANNUAL REPORT,"ADC Telecommunications, Inc.",2001,14
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\304253_2.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2000,None,None,None,13
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\276183_3.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1999,None,None,None,12
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\238514_4.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1998,None,None,None,11
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\216222_5.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1997,None,None,None,10
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\206112_6.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,None,None,None,9
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\578549_7.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,None,None,None,NA
./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\388898_8.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2003,Annual report,"ADC Telecommunications, Inc.",2003,16
./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\365447_9.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2002,Annual report,"ADC Telecommunications, Inc.",2002,15
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\471423_1.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2005,2005 Annual Report,"American Airlines, Inc.",None,41
