GVKey,Company Name,Year,Data Date,File Count
1013,ADC TELECOMMUNICATIONS INC,1996,1996-10-31,2
1013,ADC TELECOMMUNICATIONS INC,1997,1997-10-31,1
1013,ADC TELECOMMUNICATIONS INC,1998,1998-10-31,1
1013,ADC TELECOMMUNICATIONS INC,1999,1999-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2000,2000-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2001,2001-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2002,2002-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2003,2003-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2004,2004-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2005,2005-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2006,2006-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2007,2007-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2008,2008-10-31,1
1013,ADC TELECOMMUNICATIONS INC,2009,2009-09-30,1
1013,ADC TELECOMMUNICATIONS INC,2010,2010-09-30,1
1045,AMERICAN AIRLINES GROUP INC,1996,1996-12-31,1
1045,AMERICAN AIRLINES GROUP INC,1997,1997-12-31,1
1045,AMERICAN AIRLINES GROUP INC,1998,1998-12-31,1
1045,AMERICAN AIRLINES GROUP INC,1999,1999-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2000,2000-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2001,2001-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2002,2002-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2003,2003-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2004,2004-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2005,2005-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2006,2006-12-31,2
1045,AMERICAN AIRLINES GROUP INC,2007,2007-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2008,2008-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2009,2009-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2010,2010-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2011,2011-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2012,2012-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2013,2013-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2014,2014-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2015,2015-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2016,2016-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2017,2017-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2018,2018-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2019,2019-12-31,1
1045,AMERICAN AIRLINES GROUP INC,2020,2020-12-31,1
1078,ABBOTT LABORATORIES,2006,2006-12-31,2
1078,ABBOTT LABORATORIES,2007,2007-12-31,2
1078,ABBOTT LABORATORIES,2008,2008-12-31,2
1078,ABBOTT LABORATORIES,2009,2009-12-31,2
1078,ABBOTT LABORATORIES,2010,2010-12-31,3
1078,ABBOTT LABORATORIES,2011,2011-12-31,4
1078,ABBOTT LABORATORIES,2012,2012-12-31,3
1078,ABBOTT LABORATORIES,2013,2013-12-31,2
1078,ABBOTT LABORATORIES,2014,2014-12-31,3
1078,ABBOTT LABORATORIES,2015,2015-12-31,3
1078,ABBOTT LABORATORIES,2016,2016-12-31,3
1078,ABBOTT LABORATORIES,2017,2017-12-31,2
1078,ABBOTT LABORATORIES,2018,2018-12-31,1
1078,ABBOTT LABORATORIES,2019,2019-12-31,1
1078,ABBOTT LABORATORIES,2020,2020-12-31,1
1078,ABBOTT LABORATORIES,2021,2021-12-31,1
1107,ACE HARDWARE CORP,1999,1999-12-31,1
1107,ACE HARDWARE CORP,2000,2000-12-31,2
1107,ACE HARDWARE CORP,2001,2001-12-31,1
1107,ACE HARDWARE CORP,2002,2002-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,1996,1996-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,1997,1997-12-31,2
1121,ADAMS RESOURCES & ENERGY INC,1998,1998-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,1999,1999-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2001,2001-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2002,2002-12-31,2
1121,ADAMS RESOURCES & ENERGY INC,2003,2003-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2004,2004-12-31,2
1121,ADAMS RESOURCES & ENERGY INC,2005,2005-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2006,2006-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2007,2007-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2008,2008-12-31,2
1121,ADAMS RESOURCES & ENERGY INC,2009,2009-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2010,2010-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2011,2011-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2012,2012-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2013,2013-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2014,2014-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2015,2015-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2016,2016-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2017,2017-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2018,2018-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2019,2019-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2020,2020-12-31,1
1121,ADAMS RESOURCES & ENERGY INC,2021,2021-12-31,1
1161,ADVANCED MICRO DEVICES,2005,2005-12-31,1
1161,ADVANCED MICRO DEVICES,2006,2006-12-31,1
1161,ADVANCED MICRO DEVICES,2007,2007-12-31,1
1161,ADVANCED MICRO DEVICES,2008,2008-12-31,1
1161,ADVANCED MICRO DEVICES,2009,2009-12-31,1
1161,ADVANCED MICRO DEVICES,2010,2010-12-31,1
1161,ADVANCED MICRO DEVICES,2011,2011-12-31,1
1161,ADVANCED MICRO DEVICES,2012,2012-12-31,1
1161,ADVANCED MICRO DEVICES,2013,2013-12-31,1
1161,ADVANCED MICRO DEVICES,2014,2014-12-31,1
1161,ADVANCED MICRO DEVICES,2015,2015-12-31,2
1161,ADVANCED MICRO DEVICES,2016,2016-12-31,2
1161,ADVANCED MICRO DEVICES,2017,2017-12-31,2
1161,ADVANCED MICRO DEVICES,2018,2018-12-31,1
1161,ADVANCED MICRO DEVICES,2019,2019-12-31,1
1161,ADVANCED MICRO DEVICES,2020,2020-12-31,1
1161,ADVANCED MICRO DEVICES,2021,2021-12-31,1
1164,MCI INC,1998,1998-12-31,1
1193,AGWAY INC,1997,1997-06-30,2
1193,AGWAY INC,1998,1998-06-30,2
1193,AGWAY INC,1999,1999-06-30,2
1194,AHMANSON (H F) & CO,1997,1997-12-31,1
1194,AHMANSON (H F) & CO,1997,1997-12-31,1
1209,AIR PRODUCTS & CHEMICALS INC,2004,2004-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2006,2006-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2007,2007-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2008,2008-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2009,2009-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2010,2010-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2011,2011-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2012,2012-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2013,2013-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2014,2014-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2015,2015-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2016,2016-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2017,2017-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2018,2018-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2019,2019-09-30,1
1209,AIR PRODUCTS & CHEMICALS INC,2020,2020-09-30,2
1209,AIR PRODUCTS & CHEMICALS INC,2021,2021-09-30,2
1213,AIRBORNE INC,1996,1996-12-31,1
1213,AIRBORNE INC,1997,1997-12-31,1
1213,AIRBORNE INC,1998,1998-12-31,1
1213,AIRBORNE INC,1999,1999-12-31,1
1213,AIRBORNE INC,2000,2000-12-31,2
1213,AIRBORNE INC,2001,2001-12-31,2
1213,AIRBORNE INC,2002,2002-12-31,1
1230,ALASKA AIR GROUP INC,1996,1996-12-31,1
1230,ALASKA AIR GROUP INC,1997,1997-12-31,1
1230,ALASKA AIR GROUP INC,1998,1998-12-31,1
1230,ALASKA AIR GROUP INC,1999,1999-12-31,1
1230,ALASKA AIR GROUP INC,2000,2000-12-31,1
1230,ALASKA AIR GROUP INC,2001,2001-12-31,1
1230,ALASKA AIR GROUP INC,2002,2002-12-31,1
1230,ALASKA AIR GROUP INC,2003,2003-12-31,1
