Filename,GVKey,HH Name,Mergent Name,Year,Date,DocType,Parent Zip
334345_1.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2001,10/30/2001,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\334345_1.pdf
304253_2.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2000,10/30/2000,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\304253_2.pdf
276183_3.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1999,10/30/1999,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\276183_3.pdf
238514_4.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1998,10/30/1998,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\238514_4.pdf
216222_5.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1997,10/30/1997,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\216222_5.pdf
206112_6.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,10/30/1996,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\206112_6.pdf
578549_7.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,10/30/1996,Annual Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\578549_7.pdf
388898_8.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2003,10/30/2003,Annual/10K Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\388898_8.pdf
365447_9.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2002,10/30/2002,Annual/10K Report,./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\365447_9.pdf
471423_1.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2005,12/30/2005,Annual Report,./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\471423_1.pdf
