GVKey,Company Name,Year,Data Date,Status
1010,ACF INDUSTRIES INC,1996,1996-12-31,NA
1010,ACF INDUSTRIES INC,1997,1997-12-31,NA
1010,ACF INDUSTRIES INC,1998,1998-12-31,NA
1010,ACF INDUSTRIES INC,1999,1999-12-31,NA
1010,ACF INDUSTRIES INC,2000,2000-12-31,NA
1010,ACF INDUSTRIES INC,2001,2001-12-31,NA
1010,ACF INDUSTRIES INC,2002,2002-12-31,NA
1010,ACF INDUSTRIES INC,2003,2003-12-31,NA
1038,AMC ENTERTAINMENT INC -OLD,1996,1997-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,1997,1998-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,1998,1999-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,1999,2000-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,2000,2001-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,2001,2002-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,2002,2003-03-31,N
1038,AMC ENTERTAINMENT INC -OLD,2003,2004-03-31,N
1107,ACE HARDWARE CORP,1996,1996-12-31,N
1107,ACE HARDWARE CORP,1997,1997-12-31,N
1107,ACE HARDWARE CORP,1998,1998-12-31,N
1121,ADAMS RESOURCES & ENERGY INC,2000,2000-12-31,N
1164,MCI INC,1996,1996-12-31,N
1164,MCI INC,1997,1997-12-31,N
1164,MCI INC,1999,1999-12-31,N
1164,MCI INC,2000,2000-12-31,N
1164,MCI INC,2001,2001-12-31,N
1164,MCI INC,2002,2002-12-31,N
1164,MCI INC,2003,2003-12-31,N
1164,MCI INC,2004,2004-12-31,N
1194,AHMANSON (H F) & CO,1996,1996-12-31,N
1194,AHMANSON (H F) & CO,1996,1996-12-31,N
1239,ALBERTO-CULVER CO,1996,1996-09-30,NA
1239,ALBERTO-CULVER CO,1997,1997-09-30,NA
1239,ALBERTO-CULVER CO,1998,1998-09-30,NA
1239,ALBERTO-CULVER CO,1999,1999-09-30,NA
1239,ALBERTO-CULVER CO,2000,2000-09-30,NA
1239,ALBERTO-CULVER CO,2001,2001-09-30,NA
1239,ALBERTO-CULVER CO,2002,2002-09-30,NA
1239,ALBERTO-CULVER CO,2003,2003-09-30,NA
1239,ALBERTO-CULVER CO,2004,2004-09-30,NA
1239,ALBERTO-CULVER CO,2005,2005-09-30,NA
1239,ALBERTO-CULVER CO,2006,2006-09-30,NA
1239,ALBERTO-CULVER CO,2007,2007-09-30,NA
1239,ALBERTO-CULVER CO,2008,2008-09-30,NA
1239,ALBERTO-CULVER CO,2009,2009-09-30,NA
1246,IKON OFFICE SOLUTIONS,2008,2008-09-30,N
1297,ALLIED PRODUCTS,1996,1996-12-31,N
1308,ALLIS-CHALMERS ENERGY INC,1996,1996-12-31,N
1318,ALLTEL CORP,1996,1996-12-31,N
1356,ALCOA INC,2003,2003-12-31,N
1356,ALCOA INC,2010,2010-12-31,N
1356,ALCOA INC,2011,2011-12-31,N
1356,ALCOA INC,2012,2012-12-31,N
1356,ALCOA INC,2013,2013-12-31,N
1356,ALCOA INC,2015,2015-12-31,N
1392,AMDAHL CORP,1996,1996-12-31,N
1397,AMERICAN BILTRITE INC,1996,1996-12-31,N
1397,AMERICAN BILTRITE INC,1999,1999-12-31,N
1397,AMERICAN BILTRITE INC,2015,2015-12-31,N
1397,AMERICAN BILTRITE INC,2021,2021-12-31,N
1410,ABM INDUSTRIES INC,2001,2001-10-31,N
1468,AMERICAN GREETINGS  -CL A,1996,1997-02-28,NA
1468,AMERICAN GREETINGS  -CL A,1997,1998-02-28,NA
1468,AMERICAN GREETINGS  -CL A,1998,1999-02-28,NA
1468,AMERICAN GREETINGS  -CL A,1999,2000-02-29,NA
1468,AMERICAN GREETINGS  -CL A,2000,2001-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2001,2002-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2002,2003-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2003,2004-02-29,NA
1468,AMERICAN GREETINGS  -CL A,2004,2005-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2005,2006-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2006,2007-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2007,2008-02-29,NA
1468,AMERICAN GREETINGS  -CL A,2008,2009-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2009,2010-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2010,2011-02-28,NA
1468,AMERICAN GREETINGS  -CL A,2011,2012-02-29,NA
1468,AMERICAN GREETINGS  -CL A,2012,2013-02-28,NA
1537,FINA INC  -CL A,1996,1996-12-31,NA
1537,FINA INC  -CL A,1997,1997-12-31,NA
1594,AMES DEPT STORES INC,1996,1997-01-31,NA
1594,AMES DEPT STORES INC,1997,1998-01-31,NA
1594,AMES DEPT STORES INC,1998,1999-01-31,NA
1594,AMES DEPT STORES INC,1999,2000-01-31,NA
1594,AMES DEPT STORES INC,2000,2001-01-31,NA
1594,AMES DEPT STORES INC,2001,2002-01-31,NA
1613,AMPCO-PITTSBURGH CORP,1996,1996-12-31,N
1613,AMPCO-PITTSBURGH CORP,2001,2001-12-31,N
1613,AMPCO-PITTSBURGH CORP,2021,2021-12-31,N
1627,ANACOMP INC,1996,1996-09-30,N
1659,ANDERSONS INC,1996,1996-12-31,N
1678,APA CORP,1996,1996-12-31,N
1722,ARCHER-DANIELS-MIDLAND CO,2003,2003-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2004,2004-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2007,2007-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2008,2008-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2009,2009-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2010,2010-06-30,NA
1722,ARCHER-DANIELS-MIDLAND CO,2011,2011-06-30,NA
