Global Company Key,Company Name,Row Number,Page Number,Filing Date,Doctype
1013,ADC Telecommunications Inc,1,1,10/30/2001,Annual Report
1013,ADC Telecommunications Inc,2,1,10/30/2000,Annual Report
1013,ADC Telecommunications Inc,3,1,10/30/1999,Annual Report
1013,ADC Telecommunications Inc,4,1,10/30/1998,Annual Report
1013,ADC Telecommunications Inc,5,1,10/30/1997,Annual Report
1013,ADC Telecommunications Inc,6,1,10/30/1996,Annual Report
1013,ADC Telecommunications Inc,7,1,10/30/1996,Annual Report
1045,American Airlines Group Inc,1,1,12/30/2005,Annual Report
1045,American Airlines Group Inc,2,1,12/30/2001,Annual Report
1045,American Airlines Group Inc,3,1,12/30/2000,Annual Report
1045,American Airlines Group Inc,4,1,12/30/1999,Annual Report
1045,American Airlines Group Inc,5,1,12/30/1998,Annual Report
1045,American Airlines Group Inc,6,1,12/30/1997,Annual Report
1045,American Airlines Group Inc,7,1,12/30/1996,Annual Report
1045,American Airlines Group Inc,8,1,12/30/1995,Annual Report
1078,Abbott Laboratories,1,1,12/30/2021,Annual Report
1078,Abbott Laboratories,2,1,12/30/2020,Annual Report
1078,Abbott Laboratories,3,1,12/30/2019,Annual Report
1078,Abbott Laboratories,4,1,12/30/2018,Annual Report
1078,Abbott Laboratories,5,1,12/30/2017,Annual Report
1078,Abbott Laboratories (India) Ltd,6,1,03/30/2017,Annual Report
1078,Abbott Laboratories,7,1,12/30/2016,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,8,1,12/30/2016,Annual Report
1078,Abbott Laboratories (India) Ltd,9,1,03/30/2016,Annual Report
1078,Abbott Laboratories,10,1,12/30/2015,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,1,2,12/30/2015,Annual Report
1078,Abbott Laboratories (India) Ltd,2,2,03/30/2015,Annual Report
1078,Abbott Laboratories,3,2,12/30/2014,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,4,2,11/29/2014,Annual Report
1078,Abbott Laboratories (India) Ltd,5,2,03/30/2014,Annual Report
1078,Abbott Laboratories,6,2,12/30/2013,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,7,2,11/29/2013,Annual Report
1078,Abbott Laboratories,8,2,12/30/2012,Annual Report
1078,Abbott Laboratories (India) Ltd,9,2,12/30/2012,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,10,2,11/29/2012,Annual Report
1078,Abbott Laboratories,1,3,12/30/2011,Annual Report
1078,Abbott Laboratories (India) Ltd,2,3,12/30/2011,Annual Report
1078,Abbott Laboratories,3,3,12/30/2011,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,4,3,11/29/2011,Annual Report
1078,Abbott Laboratories,5,3,12/30/2010,Annual Report
1078,Abbott Laboratories (India) Ltd,6,3,12/30/2010,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,7,3,11/29/2010,Annual Report
1078,Abbott Laboratories,8,3,12/30/2009,Annual Report
1078,Abbott Laboratories (India) Ltd,9,3,11/29/2009,Annual Report
1078,Abbott Laboratories,10,3,12/30/2008,Annual Report
1078,Abbott Laboratories (India) Ltd,1,4,11/29/2008,Annual Report
1078,Abbott Laboratories,2,4,12/30/2007,Annual Report
1078,Abbott Laboratories (India) Ltd,3,4,11/29/2007,Annual Report
1078,Abbott Laboratories,4,4,12/30/2006,Annual Report
1078,Abbott Laboratories (India) Ltd,5,4,11/29/2006,Annual Report
1078,Abbott Laboratories,6,4,12/30/2005,Annual Report
1078,Abbott Laboratories (India) Ltd,7,4,11/29/2005,Annual Report
1078,Abbott Laboratories,8,4,12/30/2004,Annual Report
1078,Abbott Laboratories,9,4,12/30/2004,Annual Report
1078,Abbott Laboratories (India) Ltd,10,4,11/29/2004,Annual Report
1078,Abbott Laboratories,1,5,12/30/2003,Annual Report
1078,Abbott Laboratories,2,5,12/30/2003,Annual Report
1078,Abbott Laboratories (India) Ltd,3,5,11/29/2003,Annual Report
1078,Abbott Laboratories,4,5,12/30/2002,Annual Report
1078,ABBOTT LABORATORIES *,5,5,12/30/2002,Annual Report
1078,Abbott Laboratories,6,5,12/30/2002,Annual Report
1078,Abbott Laboratories (India) Ltd,7,5,11/29/2002,Annual Report
1078,Abbott Laboratories,8,5,12/30/2001,Annual Report
1078,ABBOTT LABORATORIES *,9,5,12/30/2001,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,10,5,11/29/2001,Annual Report
1078,Abbott Laboratories (India) Ltd,1,6,03/30/2001,Annual Report
1078,Abbott Laboratories,2,6,12/30/2000,Annual Report
1078,ABBOTT LABORATORIES *,3,6,12/30/2000,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,4,6,11/29/2000,Annual Report
1078,Abbott Laboratories,5,6,12/30/1999,Annual Report
1078,ABBOTT LABORATORIES *,6,6,12/30/1999,Annual Report
1078,Abbott Laboratories (Pakistan) Ltd.,7,6,11/29/1999,Annual Report
